"","x"
"1531",69.35
"1532",42.78
"1533",15.52
"1534",-7.08
"1535",-22.48
"1536",-31.6
"1537",-37.47
"1538",-43
"1539",-49.24
"1540",-55.15
"1541",-58.77
"1542",-58.89
"1543",-55.83
"1544",-51.27
"1545",-47.13
"1546",-44.27
"1547",-41.81
"1548",-37.42
"1549",-28.39
"1550",-13.12
"1551",7.79
"1552",31.35
"1553",52.89
"1554",67.66
"1555",72.69
"1556",67.86
"1557",55.8
"1558",40.37
"1559",24.74
"1560",9.93
"1561",-4.98
"1562",-21.45
"1563",-39.77
"1564",-57.97
"1565",-72.68
"1566",-80.76
"1567",-81.17
"1568",-75.49
"1569",-66.94
"1570",-58.67
"1571",-52.3
"1572",-47.76
"1573",-44.02
"1574",-40.45
"1575",-37.3
"1576",-35.48
"1577",-35.64
"1578",-37.36
"1579",-39.02
"1580",-38.52
"1581",-34.05
"1582",-24.83
"1583",-11.35
"1584",5.04
"1585",22.6
"1586",39.47
"1587",53.91
"1588",64.31
"1589",69.8
"1590",70.89
"1591",69.89
"1592",70.06
"1593",73.85
"1594",81.21
"1595",88.87
"1596",91.83
"1597",85.93
"1598",70.43
"1599",48.7
"1600",26.55
"1601",9.11
"1602",-1.69
"1603",-7.71
"1604",-12.93
"1605",-20.57
"1606",-31.09
"1607",-41.98
"1608",-49.71
"1609",-52.01
"1610",-49.27
"1611",-44.18
"1612",-40.25
"1613",-39.75
"1614",-42.37
"1615",-45.39
"1616",-44.76
"1617",-36.99
"1618",-20.81
"1619",2.32
"1620",28.44
"1621",52.36
"1622",69.24
"1623",76.12
"1624",72.77
"1625",61.64
"1626",46.82
"1627",32.52
"1628",21.64
"1629",15.01
"1630",11.39
"1631",8.22
"1632",2.75
"1633",-6.77
"1634",-20.57
"1635",-37.24
"1636",-54.35
"1637",-69.36
"1638",-80.57
"1639",-87.6
"1640",-91.3
"1641",-93.1
"1642",-94.12
"1643",-94.49
"1644",-93.35
"1645",-89.3
"1646",-81.22
"1647",-68.85
"1648",-52.65
"1649",-33.3
"1650",-11.32
"1651",13.05
"1652",39.43
"1653",66.66
"1654",92.2
"1655",112.65
"1656",125.06
"1657",128.71
"1658",125.71
"1659",119.92
"1660",114.71
"1661",110.96
"1662",106.64
"1663",98.39
"1664",84.15
"1665",64.86
"1666",44.24
"1667",26.52
"1668",13.79
"1669",4.76
"1670",-4.29
"1671",-16.97
"1672",-34.39
"1673",-54.31
"1674",-72.47
"1675",-84.93
"1676",-90.09
"1677",-89.07
"1678",-84.79
"1679",-80.31
"1680",-77.35
"1681",-75.45
"1682",-72.16
"1683",-64.27
"1684",-49.33
"1685",-26.94
"1686",0.61
"1687",28.87
"1688",52.39
"1689",66.46
"1690",68.76
"1691",59.99
"1692",43.44
"1693",23.79
"1694",5.71
"1695",-7.28
"1696",-13.23
"1697",-11.92
"1698",-4.75
"1699",5.46
"1700",14.91
"1701",19.66
"1702",16.95
"1703",6.23
"1704",-10.51
"1705",-29.42
"1706",-46.29
"1707",-58.02
"1708",-63.54
"1709",-63.79
"1710",-60.8
"1711",-56.59
"1712",-52.52
"1713",-49.04
"1714",-45.7
"1715",-41.41
"1716",-34.58
"1717",-23.54
"1718",-7.13
"1719",14.79
"1720",40.8
"1721",67.98
"1722",92.54
"1723",111.11
"1724",122.04
"1725",125.97
"1726",125.22
"1727",122.36
"1728",118.78
"1729",114.07
"1730",106.65
"1731",95.07
"1732",79.32
"1733",61.14
"1734",43.15
"1735",27.6
"1736",15.22
"1737",5.09
"1738",-4.57
"1739",-15.11
"1740",-26.56
"1741",-37.73
"1742",-46.89
"1743",-52.74
"1744",-55.01
"1745",-54.44
"1746",-52.42
"1747",-50.26
"1748",-48.35
"1749",-45.64
"1750",-40
"1751",-29.1
"1752",-11.88
"1753",10.38
"1754",33.94
"1755",53.66
"1756",65.05
"1757",65.99
"1758",57.53
"1759",43.13
"1760",26.98
"1761",12.23
"1762",0.11
"1763",-9.89
